date,average_speed,average_watts,distance,total_elevation_gain,type,time_min
2018-05-21,19.67,131.7,51.69,1414.0,Ride,203
2018-05-20,25.01,127.8,133.13,2280.0,Ride,377
2018-05-19,24.67,136.4,108.42,1950.0,Ride,279
2018-05-18,24.32,135.3,59.02,937.0,Ride,158
2018-05-17,26.83,117.7,23.83,122.0,Ride,55
2018-05-17,22.53,129.0,23.77,504.0,Ride,66
2018-05-16,10.31,0.0,10.85,347.3,Run,68
2018-05-15,10.54,0.0,5.0,50.0,Run,31
2018-05-12,26.24,121.9,129.49,1833.0,Ride,355
2018-05-05,10.81,0.0,3.34,50.0,Run,18
2018-05-04,10.77,0.0,5.89,35.9,Run,36
2018-05-02,11.21,0.0,8.16,46.9,Run,46
2018-05-01,28.35,105.1,24.16,99.0,Ride,51
2018-04-30,22.37,122.2,24.05,148.0,Ride,65
2018-04-28,11.37,0.0,11.38,122.6,Run,65
2018-04-26,27.46,145.1,67.89,1000.0,Ride,168
2018-04-25,9.65,0.0,8.06,214.0,Run,57
2018-04-22,26.33,116.5,131.03,1650.0,Ride,446
2018-04-21,25.79,81.9,48.5,411.0,Ride,117
2018-04-20,30.12,112.5,23.85,105.0,Ride,49
2018-04-20,9.32,0.0,10.04,246.3,Run,70
2018-04-19,25.41,135.8,68.26,1273.0,Ride,199
2018-04-18,11.86,0.0,13.34,199.9,Run,78
2018-04-15,11.57,0.0,22.07,254.5,Run,123
2018-04-14,30.1,145.5,113.27,1512.0,Ride,243
2018-04-14,10.51,0.0,17.37,160.1,Run,110
2018-04-13,24.0,108.3,18.86,294.0,Ride,49
2018-04-12,29.55,143.8,70.29,842.0,Ride,165
2018-04-11,29.82,131.2,24.01,113.0,Ride,52
2018-04-11,9.96,0.0,11.28,327.3,Run,69
2018-04-07,24.28,142.3,40.86,718.0,Ride,110
2018-04-06,25.73,123.4,76.44,1210.0,Ride,211
2018-04-04,10.27,0.0,16.66,59.5,Run,109
2018-04-02,28.15,135.5,126.33,2001.0,Ride,309
2018-04-01,29.67,136.4,123.09,1619.0,Ride,275
2018-04-01,11.35,0.0,10.39,44.3,Run,56
2018-03-31,11.07,0.0,16.36,416.5,Run,89
