,average_speed,average_heartrate,average_watts,distance,elapsed_time,total_elevation_gain,type,commute,start_date_local
0,5.465,129.9,131.7,51690.0,3:23:50,1414.0,Ride,False,2018-05-21T09:59:24
1,6.948,131.3,127.8,133126.0,6:17:54,2280.0,Ride,False,2018-05-20T08:46:44
2,6.853,135.4,136.4,108418.0,4:39:40,1950.0,Ride,False,2018-05-19T08:12:35
3,6.756,,135.3,59019.1,2:38:43,937.0,Ride,False,2018-05-17T17:50:55
4,7.454,,117.7,23830.9,0:55:01,122.0,Ride,False,2018-05-17T07:15:06
5,6.259,129.8,129.0,23773.2,1:06:00,504.0,Ride,False,2018-05-16T18:09:43
6,2.864,,,10847.6,1:08:12,347.3,Run,False,2018-05-15T19:49:01
7,2.928,,,4995.2,0:31:15,50.0,Run,False,2018-05-14T19:38:03
8,7.289,132.8,121.9,129491.0,5:55:04,1833.0,Ride,False,2018-05-12T09:13:34
9,3.004,134.0,,3337.9,0:18:54,50.0,Run,False,2018-05-05T09:47:42
10,2.993,132.5,,5887.3,0:36:16,35.9,Run,False,2018-05-03T19:14:36
11,3.114,134.1,,8158.0,0:46:41,46.9,Run,False,2018-05-01T19:23:56
12,7.876,,105.1,24156.9,0:51:27,99.0,Ride,False,2018-04-30T17:35:55
13,6.213,,122.2,24052.4,1:05:22,148.0,Ride,False,2018-04-30T08:10:17
14,3.158,136.8,,11381.6,1:05:52,122.6,Run,False,2018-04-27T14:04:44
15,7.627,137.7,145.1,67886.5,2:48:56,1000.0,Ride,False,2018-04-25T17:43:50
16,2.68,171.7,,8057.4,0:57:50,214.0,Run,False,2018-04-24T19:05:18
17,7.313,118.2,116.5,131027.0,7:26:00,1650.0,Ride,False,2018-04-22T10:39:04
18,3.378,154.9,,30036.6,2:35:49,344.9,Run,False,2018-04-21T09:29:23
19,7.163,116.8,81.9,48495.8,1:57:46,411.0,Ride,False,2018-04-20T16:39:14
20,8.367,114.1,112.5,23845.2,0:49:27,105.0,Ride,True,2018-04-20T08:05:37
21,2.59,127.2,,10037.3,1:10:14,246.3,Run,False,2018-04-19T18:16:07
22,7.058,137.5,135.8,68260.3,3:19:50,1273.0,Ride,False,2018-04-18T17:23:56
23,3.295,150.2,,13342.9,1:18:29,199.9,Run,False,2018-04-17T17:44:20
24,3.214,144.9,,22067.3,2:03:34,254.5,Run,False,2018-04-15T09:18:08
25,8.362,137.2,145.5,113266.0,4:03:25,1512.0,Ride,False,2018-04-14T10:12:47
26,2.92,147.4,,17373.5,1:50:42,160.1,Run,False,2018-04-13T17:05:42
27,6.666,113.2,108.3,18858.8,0:49:47,294.0,Ride,False,2018-04-12T15:43:35
28,8.209,137.7,143.8,70292.6,2:45:15,842.0,Ride,False,2018-04-11T17:58:38
29,8.282,129.8,131.2,24009.0,0:52:23,113.0,Ride,True,2018-04-11T07:49:03
30,2.767,135.7,,11283.5,1:09:18,327.3,Run,False,2018-04-10T17:53:04
31,6.745,132.7,142.3,40856.5,1:50:07,718.0,Ride,False,2018-04-07T10:36:42
32,7.148,124.1,123.4,76438.4,3:31:58,1210.0,Ride,False,2018-04-06T10:01:15
33,7.804,141.1,147.0,138914.0,18:00:55,2228.0,Ride,False,2018-04-05T09:57:57
34,2.852,128.5,,16661.4,1:49:16,59.5,Run,False,2018-04-04T11:03:57
35,7.578,139.2,62.5,187010.0,7:56:25,3100.0,Ride,False,2018-04-03T10:28:25
36,7.82,138.5,135.5,126328.0,5:09:35,2001.0,Ride,False,2018-04-02T10:29:50
37,8.242,136.3,136.4,123087.0,4:35:37,1619.0,Ride,False,2018-04-01T09:30:34
38,3.152,,,10385.5,0:56:26,44.3,Run,False,2018-03-31T16:08:21
39,3.076,150.7,,16360.1,1:29:55,416.5,Run,False,2018-03-30T12:46:27
40,2.804,138.9,,18325.6,2:02:08,541.5,Run,False,2018-03-28T11:08:28
41,3.136,140.6,,12081.9,1:05:45,132.5,Run,False,2018-03-27T20:16:12
42,7.158,129.6,126.4,158483.0,7:24:26,2655.0,Ride,False,2018-03-24T09:21:41
