date,average_speed,average_watts,distance,total_elevation_gain,time_min,kmeans
2018-05-21,19.67,131.7,51.69,1414.0,203,0
2018-05-20,25.01,127.8,133.13,2280.0,377,2
2018-05-19,24.67,136.4,108.42,1950.0,279,2
2018-05-18,24.32,135.3,59.02,937.0,158,0
2018-05-17,26.83,117.7,23.83,122.0,55,1
2018-05-17,22.53,129.0,23.77,504.0,66,0
2018-05-12,26.24,121.9,129.49,1833.0,355,2
2018-05-01,28.35,105.1,24.16,99.0,51,1
2018-04-30,22.37,122.2,24.05,148.0,65,0
2018-04-26,27.46,145.1,67.89,1000.0,168,3
2018-04-22,26.33,116.5,131.03,1650.0,446,2
2018-04-21,25.79,81.9,48.5,411.0,117,0
2018-04-20,30.12,112.5,23.85,105.0,49,1
2018-04-19,25.41,135.8,68.26,1273.0,199,3
2018-04-14,30.1,145.5,113.27,1512.0,243,3
2018-04-13,24.0,108.3,18.86,294.0,49,0
2018-04-12,29.55,143.8,70.29,842.0,165,3
2018-04-11,29.82,131.2,24.01,113.0,52,1
2018-04-07,24.28,142.3,40.86,718.0,110,0
2018-04-06,25.73,123.4,76.44,1210.0,211,3
2018-04-02,28.15,135.5,126.33,2001.0,309,3
2018-04-01,29.67,136.4,123.09,1619.0,275,3
2018-03-24,25.77,126.4,158.48,2655.0,444,2
2018-03-15,24.28,124.0,117.34,1660.0,316,2
2018-03-09,25.69,107.2,139.9,1796.0,357,2
2018-03-04,24.49,130.3,101.6,1357.0,307,3
2018-02-18,21.65,119.1,81.35,1663.2,242,0
2018-02-17,24.46,138.9,134.9,2236.7,375,2
2018-02-16,22.73,134.0,129.46,2828.6,374,2
2018-02-15,22.86,138.6,115.79,2606.6,417,2
2018-02-11,27.69,128.5,73.09,357.0,180,3
2018-02-04,27.98,118.7,114.7,454.0,260,3
2018-02-01,21.82,111.7,64.44,1105.0,186,0
2018-01-28,27.98,124.0,113.18,1310.0,310,3
2018-01-25,24.51,99.9,77.01,471.0,204,0
2018-01-15,22.83,110.9,45.84,770.0,123,0
2018-01-13,27.49,109.8,105.58,734.0,272,3
2018-01-12,22.03,122.9,40.74,632.0,116,0
